ensgene,SRR923920,SRR923921,SRR923923,SRR923924,SRR923925,SRR923927,SRR923926,SRR923929,SRR923928,SRR923930,SRR923931,SRR923933,SRR923932
ENSG00000000003,159,1508,2062,1369,1625,401,2024,1075,719,1104,1441,1125,1376
ENSG00000000005,0,0,17,7,0,0,0,7,8,0,6,6,2
ENSG00000000419,416,312,505,404,609,376,754,387,324,454,652,640,620
ENSG00000000457,529,507,718,851,687,722,599,705,689,855,1016,883,671
ENSG00000000460,214,197,330,279,249,213,217,281,220,184,379,383,269
ENSG00000000938,170,278,100,142,174,537,214,206,255,110,253,147,185
ENSG00000000971,1133,1200,705,622,1494,1330,1914,1113,1359,1298,1946,1968,1598
ENSG00000001036,1717,999,1266,1715,1212,1160,1403,915,827,742,891,583,892
ENSG00000001084,869,1041,1544,517,1361,873,1569,936,909,1187,1455,1854,1814
ENSG00000001167,782,561,715,527,498,392,598,318,528,564,687,495,408
ENSG00000001460,426,462,953,297,371,259,498,331,304,279,523,285,315
ENSG00000001461,6987,4585,23295,1076,6209,3368,8335,1623,2823,1379,4046,1397,2220
ENSG00000001497,1156,1636,1262,1591,1326,1110,1716,1996,1559,1222,1866,1543,2103
ENSG00000001561,415,201,425,257,541,257,753,189,188,489,314,322,458
ENSG00000001617,1304,1689,2437,1144,1356,896,3826,3316,561,2739,3143,3068,2008
ENSG00000001626,2,327,115,43,926,99,698,405,72,191,385,654,935
ENSG00000001629,835,851,747,637,796,749,816,878,776,600,860,858,729
ENSG00000001630,1011,800,4319,1004,1498,582,1608,519,679,721,673,622,858
ENSG00000001631,691,1054,1070,783,731,892,906,961,1173,1062,1406,928,867
ENSG00000002016,431,610,636,290,510,539,550,718,723,846,756,928,718
ENSG00000002079,1,33,0,1,6,12,8,8,47,7,6,7,3
ENSG00000002330,1583,1206,1139,1488,1583,1253,1336,857,899,1033,1052,1005,896
ENSG00000002549,1680,2550,1723,1173,1790,1106,3009,1299,2022,735,1481,1137,1367
ENSG00000002586,11731,8261,8745,8991,7845,9380,6662,7950,7014,5728,8405,6562,6990
ENSG00000002587,425,204,167,94,265,214,169,252,238,123,195,265,319
ENSG00000002726,8,424,14394,320,4155,28,785,765,43,184,972,48,702
ENSG00000002745,5,15,0,10,27,35,27,53,74,10,21,76,55
ENSG00000002746,51,59,232,25,168,69,47,64,59,12,98,73,103
ENSG00000002822,337,726,443,479,464,268,633,347,462,365,503,536,443
ENSG00000002834,3468,5232,3816,3298,2641,3002,4162,5157,4556,4252,4716,4237,4186
ENSG00000002919,744,669,675,537,657,590,785,526,699,594,702,491,515
ENSG00000002933,899,821,285,396,565,1270,450,648,1050,222,777,288,434
ENSG00000003056,2033,2371,2144,1242,2710,2480,3245,2584,1829,2544,3325,3094,3429
ENSG00000003096,78,198,260,100,268,134,243,364,313,355,441,554,526
ENSG00000003137,8,94,37,27,59,137,90,146,75,48,137,201,255
ENSG00000003147,2780,2565,2232,2736,1894,1480,2966,1199,2134,617,631,809,1086
ENSG00000003249,1764,1147,771,1516,269,933,956,478,932,335,196,343,267
ENSG00000003393,577,432,718,413,595,711,617,422,530,468,591,663,524
ENSG00000003400,499,499,326,374,328,462,406,576,454,513,496,446,451
ENSG00000003402,3250,5107,4235,3066,3995,3451,4513,4813,4985,3426,5037,4060,4659
ENSG00000003436,377,578,295,524,596,757,435,404,706,282,730,493,762
ENSG00000003509,352,350,351,414,410,415,448,442,422,265,405,449,423
ENSG00000003756,5409,6249,6554,6981,5150,6067,6335,6894,6534,6089,7795,6498,6474
ENSG00000003987,33,54,69,20,57,20,72,69,33,67,88,46,102
ENSG00000003989,711,464,685,313,1113,743,787,615,503,595,931,416,823
ENSG00000004059,4347,4433,2989,4005,3410,2796,3497,2179,3249,2139,2639,2356,2220
ENSG00000004139,2786,2807,2381,3378,1638,2042,2567,2222,1816,2061,2959,1903,2047
ENSG00000004142,4050,2883,3012,4253,2223,2422,2668,1961,1909,2029,2532,1322,1517
ENSG00000004399,1875,3362,2113,2570,1553,2239,2058,3772,3099,2140,3660,1981,3176
ENSG00000004455,2847,2688,3156,3820,2963,2441,3066,2719,1893,2141,2840,2152,1876
ENSG00000004468,626,1472,12031,2447,1468,209,2802,817,368,480,1501,105,377
ENSG00000004478,9432,6512,8692,4881,5954,7669,9551,4945,4116,4030,3785,3671,3518
ENSG00000004487,1648,2282,2264,3211,2462,1761,2846,2285,1941,2052,2716,2426,2581
ENSG00000004534,3450,4565,3560,8224,4159,4335,4753,6097,5645,3164,5112,3864,6658
ENSG00000004660,413,263,279,573,312,482,561,443,363,308,473,292,368
ENSG00000004700,710,651,815,309,855,690,726,485,773,539,803,721,796
ENSG00000004766,448,409,508,285,533,1318,513,443,428,354,526,496,706
ENSG00000004776,816,4279,5603,2496,2664,2335,1694,11868,6477,8712,9328,5355,4669
ENSG00000004777,171,644,301,401,176,163,243,867,450,377,440,402,607
ENSG00000004779,897,522,563,903,1300,669,1503,533,453,430,511,843,914
ENSG00000004799,63,172,216,81,293,151,242,180,175,251,800,361,500
ENSG00000004809,3,2,8,7,13,13,0,5,0,0,2,7,2
ENSG00000004838,109,415,23,34,37,17,72,72,120,34,38,49,73
ENSG00000004846,0,8,7,21,1,4,8,15,8,1,17,20,33
ENSG00000004848,21,264,11,18,89,27,212,9,70,79,36,244,169
ENSG00000004864,666,1042,676,804,614,654,722,533,721,434,444,347,514
ENSG00000004866,1192,1304,1111,1076,798,1193,933,1078,1097,865,953,711,824
ENSG00000004897,700,623,725,529,936,866,898,645,715,746,950,982,822
ENSG00000004939,8,3,2,0,5,8,5,1,15,1,8,0,0
ENSG00000004948,4,1,6,6,0,0,2,0,0,0,6,2,0
ENSG00000004961,343,331,437,503,455,381,496,390,309,492,429,317,269
ENSG00000004975,905,1678,1824,587,1090,992,1360,1503,1197,1424,1452,1312,1360
ENSG00000005001,61,325,415,198,478,115,384,660,106,423,388,731,574
ENSG00000005007,2001,3912,3559,4769,2735,1401,4363,2607,1894,2281,3455,2775,2829
ENSG00000005020,908,1045,385,494,729,1082,592,464,1079,802,659,781,605
ENSG00000005022,3568,3765,4814,6938,5993,3192,8133,3055,2552,2457,4216,4196,3551
ENSG00000005059,286,274,102,90,201,355,235,247,407,252,242,349,329
ENSG00000005073,463,602,439,588,429,561,497,683,532,585,753,476,534
ENSG00000005075,2887,2545,2598,2779,1503,2477,1784,2029,2129,1612,2129,1082,1258
ENSG00000005100,693,633,574,721,603,489,518,559,451,521,801,440,653
ENSG00000005102,148,266,95,252,112,161,276,159,324,90,115,75,158
ENSG00000005108,3092,391,211,161,712,743,209,430,563,482,745,569,661
ENSG00000005156,2739,2308,2117,2316,2252,1838,2455,1536,1651,1372,1836,1456,1510
ENSG00000005175,475,434,506,462,417,369,598,432,438,379,568,467,505
ENSG00000005187,465,1453,1069,2643,1310,526,2505,639,993,516,492,557,566
ENSG00000005189,440,586,553,422,482,265,791,279,177,107,166,92,171
ENSG00000005194,1298,1049,1385,1963,1033,943,1605,1101,767,729,1187,591,738
ENSG00000005206,378,1147,845,2050,866,364,1661,888,564,740,956,1272,1423
ENSG00000005238,1415,848,871,1023,703,806,712,693,634,430,804,466,574
ENSG00000005243,504,489,354,521,540,597,397,787,440,489,670,535,565
ENSG00000005249,329,760,523,238,738,338,597,416,878,635,828,782,694
ENSG00000005302,878,1212,815,618,888,911,732,846,1082,651,1291,861,839
ENSG00000005339,1907,4069,3279,3246,2421,1709,2847,3909,3325,3703,5314,4072,4293
ENSG00000005379,716,1621,931,1856,713,1049,959,2353,1551,1190,1723,1421,1925
ENSG00000005381,2,11,14,0,5,0,2,11,12,0,18,5,9
ENSG00000005421,2,34,176,20,10,3,8,18,13,17,21,2,10
