week_start,ilitotal,total_patients,fludeaths,pneumoniadeaths,all_deaths
2003-01-06,3260,171193,NA,NA,NA
2003-01-13,3729,234513,NA,NA,NA
2003-01-20,4204,231550,NA,NA,NA
2003-01-27,5696,235566,NA,NA,NA
2003-02-03,7079,246969,NA,NA,NA
2003-02-10,7782,245751,NA,NA,NA
2003-02-17,7649,253656,NA,NA,NA
2003-02-24,7228,241110,NA,NA,NA
2003-03-03,5606,241683,NA,NA,NA
2003-03-10,4450,228549,NA,NA,NA
2003-03-17,3810,220250,NA,NA,NA
2003-03-24,2987,196724,NA,NA,NA
2003-03-31,2439,198913,NA,NA,NA
2003-04-07,2028,192349,NA,NA,NA
2003-04-14,2082,194383,NA,NA,NA
2003-04-21,1467,177577,NA,NA,NA
2003-04-28,1445,176111,NA,NA,NA
2003-05-05,1075,170406,NA,NA,NA
2003-05-12,1005,157191,NA,NA,NA
2003-05-19,836,142514,NA,NA,NA
2003-05-26,740,95728,NA,NA,NA
2003-06-02,641,81063,NA,NA,NA
2003-06-09,563,79090,NA,NA,NA
2003-06-16,620,78023,NA,NA,NA
2003-06-23,423,72110,NA,NA,NA
2003-06-30,441,71593,NA,NA,NA
2003-07-07,318,64699,NA,NA,NA
2003-07-14,441,72972,NA,NA,NA
2003-07-21,365,69593,NA,NA,NA
2003-07-28,420,71103,NA,NA,NA
2003-08-04,361,71466,NA,NA,NA
2003-08-11,443,69844,NA,NA,NA
2003-08-18,421,69003,NA,NA,NA
2003-08-25,450,70178,NA,NA,NA
2003-09-01,463,7e4,NA,NA,NA
2003-09-08,519,65474,NA,NA,NA
2003-09-15,475,74328,NA,NA,NA
2003-09-22,461,72401,NA,NA,NA
2003-09-29,533,71273,NA,NA,NA
2003-10-06,2442,254144,NA,NA,NA
2003-10-13,2932,281045,NA,NA,NA
2003-10-20,3031,287436,NA,NA,NA
2003-10-27,3475,312412,NA,NA,NA
2003-11-03,4690,331980,NA,NA,NA
2003-11-10,5790,335258,NA,NA,NA
2003-11-17,8385,348359,NA,NA,NA
2003-11-24,11141,358275,NA,NA,NA
2003-12-01,11742,272576,NA,NA,NA
2003-12-08,18948,392274,NA,NA,NA
2003-12-15,24962,388269,NA,NA,NA
2003-12-22,23699,345097,NA,NA,NA
2003-12-29,16415,232344,NA,NA,NA
2004-01-05,7602,314349,NA,NA,NA
2004-01-12,5583,308614,NA,NA,NA
2004-01-19,4961,289774,NA,NA,NA
2004-01-26,4436,287586,NA,NA,NA
2004-02-02,4251,295646,NA,NA,NA
2004-02-09,3824,288762,NA,NA,NA
2004-02-16,3691,282347,NA,NA,NA
2004-02-23,2916,281202,NA,NA,NA
2004-03-01,2744,271597,NA,NA,NA
2004-03-08,2708,257294,NA,NA,NA
2004-03-15,2487,243802,NA,NA,NA
2004-03-22,2300,248805,NA,NA,NA
2004-03-29,1858,234998,NA,NA,NA
2004-04-05,1705,212432,NA,NA,NA
