systematic_name,bp,mf
YNL049C,ER to Golgi transport,molecular function unknown
YNL095C,biological process unknown,molecular function unknown
YDL104C,proteolysis and peptidolysis,metalloendopeptidase activity
YLR115W,mRNA polyadenylylation*,RNA binding
YMR183C,vesicle fusion*,t-SNARE activity
YML017W,biological process unknown,molecular function unknown
YOL066C,riboflavin biosynthesis,pseudouridylate synthase activity*
YPR036W,vacuolar acidification,"hydrogen-transporting ATPase activity, rotational mechanism"
YEL015W,deadenylylation-independent decapping,molecular function unknown
YOR069W,protein retention in Golgi*,protein transporter activity
YOL029C,biological process unknown,molecular function unknown
YBR158W,negative regulation of exit from mitosis*,protein binding
YGL028C,"cytokinesis, completion of separation","glucan 1,3-beta-glucosidase activity"
YHR143W,cell wall organization and biogenesis*,"glucan 1,3-beta-glucosidase activity"
YER141W,cytochrome c oxidase complex assembly*,"oxidoreductase activity, acting on NADH or NADPH, heme protein as acceptor"
YKL184W,pantothenate biosynthesis*,ornithine decarboxylase activity
YMR228W,transcription from mitochondrial promoter,S-adenosylmethionine-dependent methyltransferase activity*
YGR040W,invasive growth (sensu Saccharomyces)*,MAP kinase activity
YHR036W,biological process unknown,molecular function unknown
YNL158W,biological process unknown,molecular function unknown
YOL028C,positive regulation of transcription from RNA polymerase II promoter,RNA polymerase II transcription factor activity
YBR074W,proteolysis and peptidolysis,metalloendopeptidase activity
YOR087W,cation homeostasis,calcium channel activity*
YDR364C,"nuclear mRNA splicing, via spliceosome*","RNA splicing factor activity, transesterification mechanism*"
YPL162C,biological process unknown,molecular function unknown
YDL001W,biological process unknown,molecular function unknown
YER059W,regulation of glycogen biosynthesis*,cyclin-dependent protein kinase regulator activity
Q0065,RNA splicing*,endonuclease activity
YDL198C,mitochondrial genome maintenance*,guanine nucleotide transporter activity
YBR294W,sulfate transport,sulfate transporter activity
YDR004W,telomerase-independent telomere maintenance*,protein binding
YBR292C,NA,NA
YCR044C,response to unfolded protein*,molecular function unknown
YJL059W,intracellular protein transport*,basic amino acid transporter activity
YPR198W,response to drug*,xenobiotic-transporting ATPase activity
YGL077C,choline transport,choline transporter activity
YPL016W,chromatin remodeling,general RNA polymerase II transcription factor activity
YHR086W,"nuclear mRNA splicing, via spliceosome*",RNA binding*
YLR356W,biological process unknown,molecular function unknown
YGR282C,cell wall organization and biogenesis,"glucan 1,3-beta-glucosidase activity"
YFL039C,cell wall organization and biogenesis*,structural constituent of cytoskeleton
YKL100C,biological process unknown,molecular function unknown
YOR140W,negative regulation of transcription from RNA polymerase II promoter,specific transcriptional repressor activity
YPL171C,biological process unknown,NADPH dehydrogenase activity
YLL030C,NA,NA
YLL061W,S-methylmethionine transport,S-methylmethionine transporter activity
YLL062C,sulfur amino acid metabolism,homocysteine S-methyltransferase activity
YLR092W,sulfate transport,sulfate transporter activity
YBR011C,phosphate metabolism,inorganic diphosphatase activity
YKL096W,cell wall organization and biogenesis,structural constituent of cell wall
YDR073W,chromatin remodeling,general RNA polymerase II transcription factor activity
YPL112C,peroxisome organization and biogenesis*,molecular function unknown
YJL196C,"fatty acid elongation, unsaturated fatty acid",fatty acid elongase activity
YNL275W,transport*,anion transporter activity*
YDL220C,telomere maintenance*,single-stranded DNA binding
YIL131C,pseudohyphal growth*,transcription factor activity
YAR003W,chromatin silencing at telomere*,histone lysine N-methyltransferase activity (H3-K4 specific)
YLR437C,biological process unknown,molecular function unknown
YMR032W,cytokinesis,cytoskeletal protein binding
YJR075W,cell wall mannoprotein biosynthesis*,"transferase activity, transferring glycosyl groups*"
YNL166C,cytokinesis*,molecular function unknown
YJR084W,adaptation to pheromone during conjugation with cellular fusion,molecular function unknown
YCL004W,phospholipid biosynthesis,CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity
YIL149C,mRNA-nucleus export*,ribonucleoprotein binding
YOL123W,mRNA polyadenylylation*,RNA binding
YPL009C,biological process unknown,molecular function unknown
YLR440C,secretory pathway,molecular function unknown
YBR176W,pantothenate biosynthesis,3-methyl-2-oxobutanoate hydroxymethyltransferase activity
YMR158C-A,biological process unknown,molecular function unknown
YCL021W-A,biological process unknown,molecular function unknown
YMR300C,'de novo' IMP biosynthesis*,amidophosphoribosyltransferase activity
YGL119W,ubiquinone biosynthesis,molecular function unknown
YDL178W,biological process unknown*,actin binding*
YNL316C,"phenylalanine biosynthesis, prephenate pathway",prephenate dehydratase activity
YLR236C,NA,NA
YBL021C,transcription*,transcriptional activator activity
YOR150W,protein biosynthesis*,structural constituent of ribosome
YAL046C,biological process unknown,molecular function unknown
YNL122C,biological process unknown,molecular function unknown
YBL038W,protein biosynthesis,structural constituent of ribosome*
YPL183W-A,protein biosynthesis,structural constituent of ribosome
YDL241W,biological process unknown,molecular function unknown
YPR123C,NA,NA
YDR132C,biological process unknown,molecular function unknown
Q0060,biological process unknown,endonuclease activity
Q0045,aerobic respiration*,cytochrome-c oxidase activity
Q0182,NA,NA
Q0140,protein biosynthesis*,structural constituent of ribosome
Q0275,aerobic respiration*,cytochrome-c oxidase activity
Q0250,aerobic respiration*,cytochrome-c oxidase activity
Q0075,biological process unknown,molecular function unknown
Q0055,RNA splicing,RNA binding*
YLR042C,biological process unknown,molecular function unknown
YLR255C,NA,NA
YBR004C,GPI anchor biosynthesis,mannosyltransferase activity
YKL219W,biological process unknown,molecular function unknown
YLR407W,biological process unknown,molecular function unknown
YLL023C,biological process unknown,molecular function unknown
YPL151C,"nuclear mRNA splicing, via spliceosome",molecular function unknown
YLR090W,biological process unknown,chaperone regulator activity
YOR008C,cell wall organization and biogenesis*,transmembrane receptor activity
YOL060C,mitochondrion organization and biogenesis*,molecular function unknown
